Symbol,Date,Open,High,Low,Close,Volume
AUDUSD,2017-09-09T23:00:00,8065.3,8072.6,8045.0,8052.35,11870
AUDUSD,2017-09-10T23:00:00,8052.25,8059.5,8018.9,8031.45,265175
AUDUSD,2017-09-11T23:00:00,8031.15,8050.1,7998.6,8019.05,315086
AUDUSD,2017-09-12T23:00:00,8018.85,8045.1,7970.8,7983.95,324051
AUDUSD,2017-09-13T23:00:00,7984.65,8017.0,7956.0,7999.55,373798
AUDUSD,2017-09-14T23:00:00,7999.45,8037.0,7987.0,8002.3,305095
AUDUSD,2017-09-16T23:00:00,8002.45,8007.3,7996.2,7998.6,7329
AUDUSD,2017-09-17T23:00:00,7998.75,8036.2,7940.2,7963.65,253856
AUDUSD,2017-09-18T23:00:00,7963.7,8021.0,7962.0,8006.1,303158
AUDUSD,2017-09-19T23:00:00,8006.4,8105.8,7986.6,8030.05,359797
AUDUSD,2017-09-20T23:00:00,8030.35,8031.1,7917.2,7927.05,363665
AUDUSD,2017-09-21T23:00:00,7927.15,7986.9,7908.5,7964.6,262156
AUDUSD,2017-09-23T23:00:00,7946.45,7961.5,7944.1,7956.25,7465
AUDUSD,2017-09-24T23:00:00,7956.45,7974.6,7926.6,7936.75,313319
AUDUSD,2017-09-25T23:00:00,7936.55,7949.6,7860.1,7884.45,343623
AUDUSD,2017-09-26T23:00:00,7884.65,7889.5,7836.6,7851.55,382383
AUDUSD,2017-09-27T23:00:00,7851.75,7861.3,7799.8,7850.9,371888
AUDUSD,2017-09-28T23:00:00,7850.75,7855.7,7817.1,7833.0,313427
AUDUSD,2017-09-30T23:00:00,7840.4,7849.5,7830.6,7844.95,7977
AUDUSD,2017-10-01T23:00:00,7845.85,7847.2,7795.7,7832.75,298811
AUDUSD,2017-10-02T23:00:00,7832.65,7839.6,7785.8,7833.95,313946
AUDUSD,2017-10-03T23:00:00,7834.05,7876.0,7830.9,7860.35,302394
AUDUSD,2017-10-04T23:00:00,7860.55,7866.5,7786.8,7791.45,287071
AUDUSD,2017-10-05T23:00:00,7791.35,7799.2,7733.5,7776.4,373051
AUDUSD,2017-10-07T23:00:00,7776.75,7785.0,7771.0,7771.85,10544
AUDUSD,2017-10-08T23:00:00,7771.9,7783.2,7747.9,7761.0,140224
