Symbol,Date,Open,High,Low,Close,Volume
USDCHF,2017-09-02T23:00:00,9592.0,9616.6,9593.9,9610.7,6785
USDCHF,2017-09-03T23:00:00,9610.6,9619.3,9552.8,9579.9,199131
USDCHF,2017-09-04T23:00:00,9579.8,9615.5,9535.1,9539.0,311587
USDCHF,2017-09-05T23:00:00,9539.1,9583.4,9528.8,9559.1,279677
USDCHF,2017-09-06T23:00:00,9559.1,9598.0,9494.6,9503.8,324752
USDCHF,2017-09-07T23:00:00,9504.4,9505.6,9422.2,9442.55,366040
USDCHF,2017-09-09T23:00:00,9474.25,9483.0,9467.2,9472.4,6427
USDCHF,2017-09-10T23:00:00,9472.3,9570.4,9472.3,9555.1,254492
USDCHF,2017-09-11T23:00:00,9555.6,9619.1,9547.4,9599.7,268908
USDCHF,2017-09-12T23:00:00,9599.8,9661.8,9584.8,9630.0,266407
USDCHF,2017-09-13T23:00:00,9630.1,9707.0,9615.6,9615.75,334512
USDCHF,2017-09-14T23:00:00,9615.6,9648.7,9565.9,9596.15,267445
USDCHF,2017-09-16T23:00:00,9611.9,9620.0,9597.8,9600.7,4978
USDCHF,2017-09-17T23:00:00,9600.6,9642.0,9580.9,9617.1,243116
USDCHF,2017-09-18T23:00:00,9617.3,9650.5,9596.0,9622.8,257553
USDCHF,2017-09-19T23:00:00,9623.0,9719.6,9590.5,9699.3,286779
USDCHF,2017-09-20T23:00:00,9699.0,9748.7,9685.9,9706.9,291898
USDCHF,2017-09-21T23:00:00,9706.6,9709.1,9669.1,9693.4,250638
USDCHF,2017-09-23T23:00:00,9711.8,9728.0,9701.6,9707.0,5624
USDCHF,2017-09-24T23:00:00,9707.1,9747.6,9643.5,9662.6,248323
USDCHF,2017-09-25T23:00:00,9662.4,9728.3,9653.5,9689.8,249800
USDCHF,2017-09-26T23:00:00,9689.6,9770.7,9690.7,9723.3,279440
USDCHF,2017-09-27T23:00:00,9722.5,9760.2,9683.6,9704.5,252876
USDCHF,2017-09-28T23:00:00,9704.6,9722.4,9671.2,9679.35,227116
