Symbol,Date,Open,High,Low,Close,Volume
AUDUSD,2017-09-02T23:00:00,7939.7,7970.6,7940.6,7960.65,12952
AUDUSD,2017-09-03T23:00:00,7960.35,7973.7,7942.1,7947.65,178051
AUDUSD,2017-09-04T23:00:00,7947.55,8029.4,7942.4,8003.05,357587
AUDUSD,2017-09-05T23:00:00,8003.15,8022.9,7963.8,8008.65,339147
AUDUSD,2017-09-06T23:00:00,8008.55,8050.6,7974.9,8043.05,338964
AUDUSD,2017-09-07T23:00:00,8043.15,8126.1,8043.6,8054.3,412889
AUDUSD,2017-09-09T23:00:00,8065.3,8072.6,8045.0,8052.35,11821
AUDUSD,2017-09-10T23:00:00,8052.25,8059.5,8018.9,8031.45,265526
AUDUSD,2017-09-11T23:00:00,8031.15,8050.1,7998.6,8019.05,314925
AUDUSD,2017-09-12T23:00:00,8018.85,8045.1,7970.8,7983.95,324726
AUDUSD,2017-09-13T23:00:00,7984.65,8017.0,7956.0,7999.55,377636
AUDUSD,2017-09-14T23:00:00,7999.45,8036.8,7987.0,8002.3,305921
AUDUSD,2017-09-16T23:00:00,8002.45,8007.3,7996.2,7998.6,7401
AUDUSD,2017-09-17T23:00:00,7998.85,8036.2,7940.2,7963.65,253249
AUDUSD,2017-09-18T23:00:00,7963.75,8020.9,7962.0,8006.1,301610
AUDUSD,2017-09-19T23:00:00,8006.35,8105.8,7986.6,8030.05,358626
AUDUSD,2017-09-20T23:00:00,8029.95,8031.0,7917.2,7927.05,361505
AUDUSD,2017-09-21T23:00:00,7927.15,7987.2,7908.5,7964.6,258678
AUDUSD,2017-09-23T23:00:00,7946.45,7961.5,7944.1,7956.25,7532
AUDUSD,2017-09-24T23:00:00,7956.35,7974.6,7926.6,7936.75,313894
AUDUSD,2017-09-25T23:00:00,7936.55,7949.6,7860.1,7884.45,342859
AUDUSD,2017-09-26T23:00:00,7884.5,7889.5,7836.6,7851.55,382808
AUDUSD,2017-09-27T23:00:00,7851.75,7861.3,7799.8,7850.9,370842
AUDUSD,2017-09-28T23:00:00,7850.85,7855.7,7817.1,7833.0,311515
