Symbol,Date,Open,High,Low,Close,Volume
USDCAD,2017-09-02T23:00:00,12426.6,12433.3,12379.6,12382.05,7317
USDCAD,2017-09-03T23:00:00,12381.85,12427.2,12376.6,12411.55,122796
USDCAD,2017-09-04T23:00:00,12411.45,12419.1,12336.9,12368.35,223373
USDCAD,2017-09-05T23:00:00,12368.55,12416.5,12140.2,12235.85,244159
USDCAD,2017-09-06T23:00:00,12235.55,12242.9,12111.4,12120.65,278103
USDCAD,2017-09-07T23:00:00,12120.75,12166.7,12062.9,12155.95,259610
USDCAD,2017-09-09T23:00:00,12153.55,12167.1,12141.3,12151.35,8677
USDCAD,2017-09-10T23:00:00,12151.45,12171.7,12098.7,12100.25,203744
USDCAD,2017-09-11T23:00:00,12100.35,12190.7,12083.3,12178.75,242172
USDCAD,2017-09-12T23:00:00,12179.25,12221.2,12131.7,12166.55,220436
USDCAD,2017-09-13T23:00:00,12161.85,12240.9,12158.4,12161.65,272834
USDCAD,2017-09-14T23:00:00,12161.85,12219.9,12122.3,12196.35,235924
USDCAD,2017-09-16T23:00:00,12188.85,12199.8,12186.6,12187.35,4813
USDCAD,2017-09-17T23:00:00,12187.1,12339.5,12172.5,12279.35,215927
USDCAD,2017-09-18T23:00:00,12279.55,12310.2,12255.9,12291.15,234227
USDCAD,2017-09-19T23:00:00,12290.95,12391.9,12199.4,12330.95,250262
USDCAD,2017-09-20T23:00:00,12330.85,12369.1,12321.7,12329.05,239932
USDCAD,2017-09-21T23:00:00,12329.55,12352.3,12256.4,12338.65,229866
USDCAD,2017-09-23T23:00:00,12337.2,12351.9,12339.1,12345.35,5155
USDCAD,2017-09-24T23:00:00,12345.55,12386.3,12314.1,12366.05,226249
USDCAD,2017-09-25T23:00:00,12365.95,12414.7,12331.1,12356.45,245542
USDCAD,2017-09-26T23:00:00,12356.15,12484.2,12337.0,12477.85,315492
USDCAD,2017-09-27T23:00:00,12477.75,12520.7,12417.5,12434.05,284456
USDCAD,2017-09-28T23:00:00,12433.9,12533.7,12418.0,12469.5,252026
USDCAD,2017-09-30T23:00:00,12492.0,12496.0,12471.4,12470.85,5928
USDCAD,2017-10-01T23:00:00,12470.85,12526.1,12469.2,12503.85,193437
