Symbol,Date,Open,High,Low,Close,Volume
EURSGD,2017-09-02T23:00:00,16137.7,16161.0,16127.5,16125.3,5445
EURSGD,2017-09-03T23:00:00,16125.4,16176.9,16120.6,16143.9,103203
EURSGD,2017-09-04T23:00:00,16144.2,16149.4,16094.2,16137.3,166961
EURSGD,2017-09-05T23:00:00,16137.6,16152.2,16083.2,16099.8,159114
EURSGD,2017-09-06T23:00:00,16099.8,16180.6,16058.1,16111.1,180725
EURSGD,2017-09-07T23:00:00,16111.3,16175.3,16100.6,16150.15,181932
EURSGD,2017-09-09T23:00:00,16112.8,16149.8,16123.8,16133.6,4908
EURSGD,2017-09-10T23:00:00,16133.7,16150.1,16094.0,16100.0,152143
EURSGD,2017-09-11T23:00:00,16099.8,16137.9,16074.7,16131.6,155980
EURSGD,2017-09-12T23:00:00,16131.7,16136.4,16042.7,16059.6,152775
EURSGD,2017-09-13T23:00:00,16060.0,16091.6,16027.5,16047.9,171003
EURSGD,2017-09-14T23:00:00,16048.9,16116.0,16033.2,16070.65,159551
EURSGD,2017-09-16T23:00:00,16050.0,16089.3,16052.3,16069.0,4597
EURSGD,2017-09-17T23:00:00,16069.1,16129.5,16031.6,16113.6,149514
EURSGD,2017-09-18T23:00:00,16114.1,16194.1,16106.1,16154.2,166638
EURSGD,2017-09-19T23:00:00,16153.5,16184.0,16029.1,16039.6,171266
EURSGD,2017-09-20T23:00:00,16040.2,16135.0,16025.8,16123.1,173923
EURSGD,2017-09-21T23:00:00,16122.5,16173.4,16062.1,16084.0,154826
EURSGD,2017-09-23T23:00:00,16034.15,16075.5,16045.5,16065.65,6973
EURSGD,2017-09-24T23:00:00,16064.1,16083.3,15994.9,16020.2,165691
EURSGD,2017-09-25T23:00:00,16019.8,16029.1,15956.8,15974.2,172916
EURSGD,2017-09-26T23:00:00,15974.4,15992.9,15941.1,15970.0,176078
EURSGD,2017-09-27T23:00:00,15970.6,16032.8,15957.6,16000.8,171839
EURSGD,2017-09-28T23:00:00,16000.9,16069.4,15997.1,16040.7,137083
EURSGD,2017-09-30T23:00:00,16010.45,16043.6,16017.4,16032.1,5782
EURSGD,2017-10-01T23:00:00,16031.9,16041.5,15976.8,15979.1,133479
