Symbol,Date,Open,High,Low,Close,Volume
USDCAD,2017-09-02T23:00:00,12426.6,12433.3,12379.6,12382.05,7340
USDCAD,2017-09-03T23:00:00,12381.85,12427.2,12376.6,12411.55,122771
USDCAD,2017-09-04T23:00:00,12411.45,12419.2,12336.9,12368.35,222804
USDCAD,2017-09-05T23:00:00,12368.55,12416.5,12140.5,12235.85,244270
USDCAD,2017-09-06T23:00:00,12235.65,12242.9,12111.4,12120.65,277754
USDCAD,2017-09-07T23:00:00,12120.75,12166.7,12062.9,12155.8,259700
USDCAD,2017-09-09T23:00:00,12153.55,12167.1,12141.3,12151.35,8692
USDCAD,2017-09-10T23:00:00,12151.75,12171.7,12098.7,12100.25,203866
USDCAD,2017-09-11T23:00:00,12100.35,12190.7,12083.3,12178.75,241923
USDCAD,2017-09-12T23:00:00,12179.25,12221.2,12131.7,12166.55,220220
USDCAD,2017-09-13T23:00:00,12161.85,12240.9,12158.4,12161.65,272615
USDCAD,2017-09-14T23:00:00,12161.85,12219.9,12122.1,12196.35,236126
USDCAD,2017-09-16T23:00:00,12188.85,12199.8,12186.5,12187.35,4804
USDCAD,2017-09-17T23:00:00,12187.1,12339.7,12172.5,12279.35,215827
USDCAD,2017-09-18T23:00:00,12279.25,12310.2,12255.9,12291.15,234109
USDCAD,2017-09-19T23:00:00,12291.05,12391.9,12199.4,12330.95,250300
USDCAD,2017-09-20T23:00:00,12330.75,12369.1,12321.7,12329.05,239882
USDCAD,2017-09-21T23:00:00,12328.95,12352.4,12256.5,12338.65,227681
USDCAD,2017-09-23T23:00:00,12337.2,12351.9,12339.1,12345.35,5156
USDCAD,2017-09-24T23:00:00,12345.25,12386.3,12314.1,12366.05,226939
USDCAD,2017-09-25T23:00:00,12365.75,12414.7,12331.1,12356.45,246243
USDCAD,2017-09-26T23:00:00,12356.4,12484.2,12337.2,12477.85,315619
USDCAD,2017-09-27T23:00:00,12477.75,12520.7,12417.5,12434.05,284909
USDCAD,2017-09-28T23:00:00,12433.9,12533.7,12418.0,12469.5,252026
