Symbol,Date,Open,High,Low,Close,Volume
GBPEUR,2017/09/06 00:00:00,10940.3,10962.3,10912.7,10940.8,191408
GBPEUR,2017/09/07 00:00:00,10940.7,10968.3,10867.1,10897.4,198978
GBPEUR,2017/09/08 00:00:00,10897.6,10978.5,10867.1,10962.25,195020
GBPEUR,2017/09/10 00:00:00,10975.3,10984.5,10968.2,10975.9,5500
GBPEUR,2017/09/11 00:00:00,10976.0,11019.7,10963.5,11014.1,162258
GBPEUR,2017/09/12 00:00:00,11013.9,11133.6,11010.3,11107.2,180508
GBPEUR,2017/09/13 00:00:00,11106.9,11133.1,11064.5,11110.8,176545
GBPEUR,2017/09/14 00:00:00,11110.6,11279.5,11056.7,11243.7,194950
GBPEUR,2017/09/15 00:00:00,11243.6,11398.0,11235.6,11375.1,188734
GBPEUR,2017/09/17 00:00:00,11368.6,11390.4,11366.4,11372.1,6066
GBPEUR,2017/09/18 00:00:00,11373.3,11392.2,11283.7,11302.1,176337
GBPEUR,2017/09/19 00:00:00,11301.8,11308.9,11238.0,11265.6,185097
GBPEUR,2017/09/20 00:00:00,11264.8,11368.2,11251.9,11358.3,194736
GBPEUR,2017/09/21 00:00:00,11357.1,11385.8,11320.6,11367.3,183840
GBPEUR,2017/09/22 00:00:00,11367.2,11371.1,11255.6,11294.95,174188
GBPEUR,2017/09/24 00:00:00,11321.2,11345.6,11314.5,11326.6,7093
GBPEUR,2017/09/25 00:00:00,11326.7,11396.7,11323.5,11370.7,186693
GBPEUR,2017/09/26 00:00:00,11371.1,11424.0,11364.5,11410.7,179040
GBPEUR,2017/09/27 00:00:00,11410.8,11434.5,11364.8,11407.5,188056
GBPEUR,2017/09/28 00:00:00,11407.6,11416.7,11351.9,11404.1,178800
GBPEUR,2017/09/29 00:00:00,11403.0,11405.9,11310.7,11340.85,162498
