Symbol,Date,Open,High,Low,Close,Volume
AUDUSD,2017-09-02T23:00:00,7939.7,7970.6,7940.6,7960.65,12973
AUDUSD,2017-09-03T23:00:00,7960.35,7973.7,7942.1,7947.65,177792
AUDUSD,2017-09-04T23:00:00,7947.55,8029.3,7942.4,8003.05,356357
AUDUSD,2017-09-05T23:00:00,8003.15,8022.9,7963.8,8008.65,336945
AUDUSD,2017-09-06T23:00:00,8008.55,8050.6,7974.8,8043.05,336408
AUDUSD,2017-09-07T23:00:00,8043.15,8126.1,8043.6,8054.3,409570
AUDUSD,2017-09-09T23:00:00,8065.3,8072.6,8045.0,8052.35,11870
AUDUSD,2017-09-10T23:00:00,8052.25,8059.5,8018.9,8031.45,265175
AUDUSD,2017-09-11T23:00:00,8031.15,8050.1,7998.6,8019.05,315086
AUDUSD,2017-09-12T23:00:00,8018.85,8045.1,7970.8,7983.95,324051
AUDUSD,2017-09-13T23:00:00,7984.65,8017.0,7956.0,7999.55,373798
AUDUSD,2017-09-14T23:00:00,7999.45,8037.0,7987.0,8002.3,305095
AUDUSD,2017-09-16T23:00:00,8002.45,8007.3,7996.2,7998.6,7329
AUDUSD,2017-09-17T23:00:00,7998.75,8036.2,7940.2,7963.65,253856
AUDUSD,2017-09-18T23:00:00,7963.7,8021.0,7962.0,8006.1,303158
AUDUSD,2017-09-19T23:00:00,8006.4,8105.8,7986.6,8030.05,359797
AUDUSD,2017-09-20T23:00:00,8030.35,8031.1,7917.2,7927.05,363665
AUDUSD,2017-09-21T23:00:00,7927.15,7986.9,7908.5,7964.6,262156
AUDUSD,2017-09-23T23:00:00,7946.45,7961.5,7944.1,7956.25,7465
AUDUSD,2017-09-24T23:00:00,7956.45,7974.6,7926.6,7936.75,313319
AUDUSD,2017-09-25T23:00:00,7936.55,7949.6,7860.1,7884.45,343623
AUDUSD,2017-09-26T23:00:00,7884.65,7889.5,7836.6,7851.55,382383
AUDUSD,2017-09-27T23:00:00,7851.75,7861.3,7799.8,7850.9,371888
AUDUSD,2017-09-28T23:00:00,7850.75,7855.7,7817.1,7833.0,313427
AUDUSD,2017-09-30T23:00:00,7840.4,7849.5,7830.6,7844.95,7977
AUDUSD,2017-10-01T23:00:00,7845.85,7847.2,7795.7,7832.85,276342
